eligible,ineligible,withdrawn,pass_prescreen,fail_prescreen
Application eligible  awaiting references,Reject - not enough work experience,Application withdrawn,Long listed pending reject,"Application started, not submitted"
Application eligible - 2 references returned,Reject - UK citizen/employee,,Pending reject - reading committee review complete,Pre-screen started not completed
,Reject - course duplication,,,Pre-screen failed
,Reject  Dual National/UK funding,,,
,Reject - return to home country,,,
